"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"Europe30"	"H15"	"1"	"0.8891"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe31"	"H8a1"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe32"	"H5'36"	"1"	"0.6255"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe33"	"H6"	"1"	"0.8185"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe34"	"H14a"	"1"	"0.9402"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe35"	"H16"	"1"	"0.9694"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe36"	"R0"	"1"	"1.0000"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe37"	"H1f"	"1"	"0.9648"	"16024-16569 1-576 750 4769 3915 4727 8473 709 15218 7337 3010 14470 4793 8602 13759 9150 14552 4745 7645 6253 3847 10394 6296 6365 3796 6776 10810 951 3992 14365 2581 4580 12858 9066 10044 8269 12957 4336 15833 13101 4310 7028 2706 15904 14766"
"Europe38"	"K1b1a1_T199C"	"1"	"0.9200"	"16024-16569 1-576"
"Europe39"	"U5a2"	"1"	"1.0000"	"16024-16569 1-576"
"Europe04"	"I1a1"	"1"	"0.9702"	"16024-16569 1-576"
"Europe40"	"K1c"	"1"	"1.0000"	"16024-16569 1-576"
"Europe41"	"T2b"	"1"	"0.8839"	"16024-16569 1-576"
"Europe42"	"J1c3f"	"1"	"1.0000"	"16024-16569 1-576"
"Europe43"	"K1c2"	"1"	"1.0000"	"16024-16569 1-576"
"Europe44"	"K1b1c"	"1"	"0.9164"	"16024-16569 1-576"
"Europe45"	"J1c1"	"1"	"0.9243"	"16024-16569 1-576"
"Europe46"	"U5b1_T16189C!"	"1"	"1.0000"	"16024-16569 1-576"
"Europe47"	"K1e1"	"1"	"0.9629"	"16024-16569 1-576"
"Europe48"	"K1b2"	"1"	"1.0000"	"16024-16569 1-576"
"Europe49"	"K1a"	"1"	"1.0000"	"16024-16569 1-576"
"Europe05"	"T1a1'3"	"1"	"1.0000"	"16024-16569 1-576"
"Europe50"	"I"	"1"	"0.9451"	"16024-16569 1-576"
"Europe51"	"J2b1a"	"1"	"0.9477"	"16024-16569 1-576"
"Europe52"	"I3"	"1"	"0.9670"	"16024-16569 1-576"
"Europe53"	"J2a1a1a"	"1"	"0.9055"	"16024-16569 1-576"
"Europe54"	"J1"	"1"	"0.9158"	"16024-16569 1-576"
"Europe55"	"X2b_T226C"	"1"	"0.9769"	"16024-16569 1-576"
"Europe56"	"U2e1"	"1"	"1.0000"	"16024-16569 1-576"
"Europe57"	"W1c"	"1"	"0.9149"	"1-16569"
"Europe58"	"K1a5a"	"1"	"0.9420"	"1-16569"
"Europe59"	"K2a2a1"	"1"	"1.0000"	"1-16569"
"Europe06"	"Y1"	"1"	"0.9315"	"16024-16569 1-576"
"Europe60"	"U5b3g"	"1"	"0.9440"	"1-16569"
"Europe07"	"U4"	"1"	"1.0000"	"16024-16569 1-576"
"Europe08"	"U5b2a2"	"1"	"1.0000"	"16024-16569 1-576"
"Europe09"	"C5c_C16234T"	"1"	"1.0000"	"16024-16569 1-576"
