"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"HG02808"	"L2a1c"	"1"	"1.0000"	"1-16569"
"HG00513"	"R11"	"1"	"1.0000"	"1-16569"
"NA19462"	"L1b1a15"	"1"	"0.9762"	"1-16569"
"HG03698"	"N1a"	"1"	"0.9496"	"1-16569"
"HG01119"	"N"	"1"	"1.0000"	"1-16569"
"HG03817"	"U2c1a"	"1"	"1.0000"	"1-16569"
"HG01871"	"M7b1a1"	"1"	"1.0000"	"1-16569"
"NA12282"	"J1b1a"	"1"	"1.0000"	"1-16569"
"NA20530"	"K1"	"1"	"0.9765"	"1-16569"
"NA19747"	"D4"	"1"	"1.0000"	"1-16569"
"HG00599"	"R"	"1"	"1.0000"	"1-16569"
"HG00178"	"H13a"	"1"	"1.0000"	"1-16569"
"NA12874"	"J1c8a"	"1"	"0.9742"	"1-16569"
"HG01630"	"H"	"1"	"1.0000"	"1-16569"
"HG00629"	"D4"	"1"	"1.0000"	"1-16569"
"NA21097"	"U1a"	"1"	"1.0000"	"1-16569"
"NA19210"	"L1b1a15"	"1"	"0.9762"	"1-16569"
"HG03611"	"M"	"1"	"0.9479"	"1-16569"
"HG04001"	"M18a"	"1"	"1.0000"	"1-16569"
"HG03432"	"L2a1"	"1"	"1.0000"	"1-16569"
"HG02775"	"U7b"	"1"	"0.9752"	"1-16569"
"NA19225"	"L2a1"	"1"	"1.0000"	"1-16569"
"HG02275"	"C"	"1"	"1.0000"	"1-16569"
"NA19712"	"L1c2b1c"	"1"	"1.0000"	"1-16569"
"NA12815"	"H"	"1"	"1.0000"	"1-16569"
"NA20870"	"H"	"1"	"1.0000"	"1-16569"
"HG01866"	"B4b1c1"	"1"	"1.0000"	"1-16569"
"HG01631"	"H1"	"1"	"1.0000"	"1-16569"
"NA19780"	"B2"	"1"	"1.0000"	"1-16569"
"NA18561"	"F1d"	"1"	"1.0000"	"1-16569"
"HG00365"	"H1c"	"1"	"1.0000"	"1-16569"
"HG03461"	"L2a1"	"1"	"0.9703"	"1-16569"
"NA20827"	"U5a1"	"1"	"0.9480"	"1-16569"
"HG02508"	"L2a1c"	"1"	"0.9639"	"1-16569"
"HG03520"	"L3e1"	"1"	"0.9560"	"1-16569"
"NA18648"	"D4a"	"1"	"1.0000"	"1-16569"
"HG01284"	"N"	"1"	"0.9202"	"1-16569"
"HG00140"	"H4a1a4"	"1"	"1.0000"	"1-16569"
"HG01597"	"F1"	"1"	"1.0000"	"1-16569"
"HG03352"	"L3e2b1"	"1"	"1.0000"	"1-16569"
"HG00356"	"T"	"1"	"1.0000"	"1-16569"
"NA20797"	"V2"	"1"	"1.0000"	"1-16569"
"HG03160"	"L3e"	"1"	"1.0000"	"1-16569"
"HG04026"	"W3a1"	"1"	"0.9461"	"1-16569"
"HG03771"	"M26"	"1"	"0.9769"	"1-16569"
"HG04006"	"M5a'd"	"1"	"0.9776"	"1-16569"
"NA19315"	"L3e3b1"	"1"	"1.0000"	"1-16569"
"HG01372"	"N"	"1"	"0.9000"	"1-16569"
"HG02008"	"D4"	"1"	"1.0000"	"1-16569"
"HG01844"	"D4a7"	"1"	"1.0000"	"1-16569"
