,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jilin,Liaoning,Ningxia,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang
Anhui,0.0,1.0,1.0,0.2727272727272727,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,0.36363636363636365,0.45454545454545453,1.0,0.36363636363636365,1.0,1.0,0.09090909090909091,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.5454545454545454,1.0,1.0,1.0,0.45454545454545453
Beijing,1.0,0.0,1.0,0.2727272727272727,0.36363636363636365,1.0,0.2727272727272727,1.0,0.2727272727272727,1.0,1.0,1.0,0.5454545454545454,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chongqing,1.0,1.0,0.0,0.18181818181818182,1.0,1.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.18181818181818182,1.0,1.0,0.45454545454545453,1.0,0.6363636363636364,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,0.18181818181818182
Fujian,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,1.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.18181818181818182
Gansu,1.0,0.36363636363636365,1.0,0.2727272727272727,0.0,1.0,0.36363636363636365,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,0.2727272727272727,0.45454545454545453,0.45454545454545453,1.0,1.0,0.2727272727272727,1.0,1.0,0.36363636363636365,0.18181818181818182
Guangdong,1.0,1.0,1.0,0.09090909090909091,1.0,0.0,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.2727272727272727,1.0,1.0,0.45454545454545453,1.0,0.5454545454545454,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,0.18181818181818182
Guizhou,1.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.36363636363636365,1.0,1.0,0.18181818181818182,0.36363636363636365,1.0,0.2727272727272727,0.09090909090909091,1.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0,0.2727272727272727,0.09090909090909091,1.0,1.0,0.18181818181818182,0.09090909090909091
Hainan,0.36363636363636365,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.2727272727272727,1.0,1.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.6363636363636364,1.0,1.0,0.36363636363636365,1.0,0.2727272727272727,1.0,0.45454545454545453,0.6363636363636364,0.36363636363636365,1.0,1.0
Hebei,1.0,0.2727272727272727,0.36363636363636365,0.2727272727272727,1.0,0.2727272727272727,1.0,0.2727272727272727,0.0,1.0,0.2727272727272727,1.0,1.0,1.0,0.2727272727272727,1.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,1.0,0.45454545454545453,0.2727272727272727,1.0,1.0,0.18181818181818182,0.09090909090909091
Heilongjiang,1.0,1.0,0.18181818181818182,0.2727272727272727,1.0,0.2727272727272727,1.0,1.0,1.0,0.0,1.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,0.5454545454545454,1.0,1.0,1.0,1.0
Henan,0.36363636363636365,1.0,1.0,0.18181818181818182,1.0,1.0,0.18181818181818182,1.0,0.2727272727272727,1.0,0.0,1.0,0.18181818181818182,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,1.0,0.36363636363636365
Hubei,0.45454545454545453,1.0,1.0,0.09090909090909091,1.0,1.0,0.36363636363636365,0.36363636363636365,1.0,0.36363636363636365,1.0,0.0,0.36363636363636365,1.0,0.45454545454545453,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,0.6363636363636364,0.18181818181818182
Hunan,1.0,0.5454545454545454,0.45454545454545453,0.2727272727272727,1.0,0.45454545454545453,1.0,0.18181818181818182,1.0,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.0,1.0,0.18181818181818182,1.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,1.0,0.5454545454545454,0.18181818181818182,1.0,1.0,0.36363636363636365,0.18181818181818182
Jiangsu,0.36363636363636365,0.36363636363636365,1.0,0.36363636363636365,1.0,1.0,0.2727272727272727,0.09090909090909091,1.0,0.36363636363636365,0.2727272727272727,1.0,1.0,0.0,0.18181818181818182,1.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,1.0,0.36363636363636365,0.18181818181818182,1.0,0.45454545454545453,0.09090909090909091,0.09090909090909091
Jilin,1.0,1.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.6363636363636364,0.2727272727272727,1.0,1.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.6363636363636364,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.45454545454545453,1.0,1.0
Liaoning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.0,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
Ningxia,0.09090909090909091,1.0,1.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.09090909090909091,1.0,0.2727272727272727,0.45454545454545453,1.0,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0,0.18181818181818182,1.0,0.2727272727272727,1.0,1.0,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.45454545454545453
